prolific_id,page_index,viewing_time
sub001,0,36963.300000000745
sub001,1,13566.699999999255
sub002,0,36737.300000000745
sub002,1,14383.79999999702
sub003,0,32763.700000047684
sub003,1,9097.100000023842
sub005,0,58588.700000000186
sub005,1,26417.200000000186
sub006,0,24606.400000095367
sub006,1,7964.099999904633
sub007,0,37945.39999997616
sub007,1,45337.10000002384
sub008,0,58144.79999999702
sub008,1,48912.0
sub009,0,72303.40000003576
sub009,1,43432.89999997616
sub010,0,30143.0
sub010,1,15925.09999999404
sub011,0,62802.59999999404
sub011,1,28886.100000023842
sub012,0,134957.60000002384
sub012,1,27445.699999928474
sub013,0,26442.79999999702
sub013,1,15453.5
sub014,0,37602.599999997765
sub014,1,12865.10000000149
